type	latitude	longitude	altitude (m)	name	desc
T	-22.538791647	-43.161259542	1108.7		
T	-22.538761691	-43.160866508	1136.0		
T	-22.538778381	-43.160292467	1165.1		
T	-22.538746579	-43.159732142	1175.3		
T	-22.538726387	-43.159295968	1176.1		
T	-22.538699370	-43.158644903	1164.0		
T	-22.538690634	-43.158460340	1163.7		
T	-22.538669022	-43.158049403	1165.7		
T	-22.538649527	-43.157717517	1172.0		
T	-22.538629579	-43.157397444	1180.4		
T	-22.538657201	-43.156983367	1194.9		
T	-22.538637743	-43.156666881	1211.1		
T	-22.538619376	-43.156434332	1222.5		
T	-22.538595283	-43.156083945	1240.8		
T	-22.538575069	-43.155779966	1251.5		
T	-22.538561404	-43.155581776	1260.3		
T	-22.538496167	-43.155449479	1271.4		
T	-22.538318272	-43.155294242	1291.2		
T	-22.538198964	-43.155174387	1304.7		
T	-22.537975579	-43.155090175	1322.2		
T	-22.537875915	-43.155276587	1320.4		
T	-22.537731857	-43.155599551	1310.3		
T	-22.537638603	-43.155855420	1304.8		
T	-22.537657019	-43.156170438	1293.7		
T	-22.537620947	-43.156490748	1285.2		
T	-22.537581738	-43.156754412	1274.4		
T	-22.537594306	-43.156946562	1260.5		
T	-22.537555203	-43.157202022	1249.5		
T	-22.537580481	-43.157591264	1225.4		
T	-22.537592960	-43.157779572	1211.2		
T	-22.537608793	-43.158027232	1195.6		
T	-22.537624813	-43.158267099	1185.9		
T	-22.537653199	-43.158740707	1162.7		
T	-22.537675281	-43.159089530	1148.0		
T	-22.537694076	-43.159420661	1141.0		
T	-22.537718348	-43.159887804	1132.3		
T	-22.537736340	-43.160250574	1128.3		
T	-22.537763323	-43.160794747	1126.8		
T	-22.537788305	-43.161245435	1116.8		
T	-22.537801165	-43.161456924	1105.8		
T	-22.537817714	-43.161712881	1090.1		
T	-22.537837230	-43.162029028	1071.3		
T	-22.537860524	-43.162378726	1049.2		
T	-22.537877406	-43.162629944	1032.2		
T	-22.537894446	-43.162883454	1014.8		
T	-22.537914755	-43.163190804	991.6		
T	-22.537931830	-43.163446405	972.5		
T	-22.537951275	-43.163785579	953.1		
T	-22.537967833	-43.164060365	941.2		
T	-22.537996489	-43.164582325	925.1		
T	-22.538026122	-43.165092769	907.5		
T	-22.538053876	-43.165518104	888.7		
T	-22.538078800	-43.165881346	868.0		
T	-22.538106850	-43.166315140	826.0		
T	-22.538136028	-43.166724280	790.3		
T	-22.538149885	-43.166955218	775.6		
T	-22.538179036	-43.167377945	755.7		
T	-22.538213353	-43.167955886	728.8		
T	-22.538238006	-43.168355214	712.8		
T	-22.538274430	-43.169021223	693.3		
T	-22.538317993	-43.169811820	681.9		
T	-22.538415572	-43.170560032	666.2		
T	-22.538442492	-43.171050621	657.6		
T	-22.538545146	-43.171842814	642.3		
T	-22.538577090	-43.172479634	643.0		
T	-22.538603157	-43.173080836	645.2		
T	-22.538647514	-43.173883468	629.6		
T	-22.538676415	-43.174546198	647.7		
T	-22.538697102	-43.175180909	689.3		
T	-22.538721322	-43.175697120	691.1		
T	-22.538742576	-43.176148210	691.0		
T	-22.538771301	-43.176716592	694.5		
T	-22.538804470	-43.177424774	709.3		
T	-22.538843077	-43.178262761	703.2		
T	-22.538881865	-43.178940403	684.5		
T	-22.538920602	-43.179622422	680.4		
T	-22.538946718	-43.180204275	682.3		
T	-22.538972900	-43.180785812	691.8		
T	-22.539010660	-43.181695558	713.7		
T	-22.539120562	-43.182844793	749.1		
T	-22.539152075	-43.183754842	790.1		
T	-22.539200437	-43.184964194	838.0		
T	-22.539239065	-43.185779410	846.0		
T	-22.539266997	-43.186470886	874.6		
T	-22.539287973	-43.187034805	890.5		
T	-22.539309428	-43.187470216	891.3		
T	-22.539323881	-43.187781105	894.6		
T	-22.539341867	-43.188154117	899.5		
T	-22.539357970	-43.188526263	910.1		
T	-22.539372725	-43.188897055	923.4		
T	-22.539390580	-43.189268753	928.9		
T	-22.539410513	-43.189701409	930.4		
T	-22.539432318	-43.190135397	932.7		
T	-22.539455031	-43.190570590	926.7		
T	-22.539482238	-43.191069932	922.0		
T	-22.539496296	-43.191378621	915.1		
T	-22.539515815	-43.191695100	906.4		
T	-22.539535653	-43.192070595	895.8		
T	-22.539557263	-43.192449589	889.7		
T	-22.539576784	-43.192824679	886.5		
T	-22.539532171	-43.193077544	886.7		
T	-22.539547639	-43.193389183	886.5		
T	-22.539559854	-43.193638511	886.5		
T	-22.539582338	-43.194131605	891.9		
T	-22.539537891	-43.194438894	895.9		
T	-22.539557465	-43.194922057	906.9		
T	-22.539578097	-43.195459452	933.2		
T	-22.539584955	-43.195637935	939.1		
T	-22.539537823	-43.195880298	943.4		
T	-22.539553455	-43.196189004	940.5		
T	-22.539573282	-43.196515443	932.2		
T	-22.539593679	-43.196843168	925.4		
T	-22.539567390	-43.197415413	916.3		
T	-22.539580507	-43.197667216	912.6		
T	-22.539610907	-43.198237883	901.4		
T	-22.539626875	-43.198551905	900.0		
T	-22.539584762	-43.198863828	899.5		
T	-22.539600730	-43.199226001	907.5		
T	-22.539563172	-43.199654597	916.7		
T	-22.539534387	-43.200219760	911.6		
T	-22.539548464	-43.200477454	902.5		
T	-22.539519084	-43.200948032	890.6		
T	-22.539535197	-43.201263464	891.8		
T	-22.539492138	-43.201663056	896.8		
T	-22.539514067	-43.202188471	922.6		
T	-22.539466749	-43.202423195	933.6		
T	-22.539476954	-43.202658611	939.5		
T	-22.539498404	-43.203134897	945.5		
T	-22.539462122	-43.203522685	939.5		
T	-22.539500866	-43.204196425	920.9		
T	-22.539527555	-43.204667014	906.6		
T	-22.539556191	-43.205192538	892.8		
T	-22.539512313	-43.205451935	888.4		
T	-22.539539137	-43.206007234	884.5		
T	-22.539567502	-43.206534110	872.0		
T	-22.539591127	-43.206946766	869.2		
T	-22.539558542	-43.207451865	870.1		
T	-22.539574683	-43.207808612	873.1		
T	-22.539588847	-43.208149308	875.9		
T	-22.539555921	-43.208613401	872.2		
T	-22.539581952	-43.209088046	861.7		
T	-22.539603991	-43.209529348	860.0		
T	-22.539627647	-43.210021303	864.1		
T	-22.539649646	-43.210499467	865.5		
T	-22.539667741	-43.210906348	875.6		
T	-22.539682963	-43.211251981	883.6		
T	-22.539712858	-43.211867495	885.9		
T	-22.539728941	-43.212185920	892.0		
T	-22.539746378	-43.212549420	900.1		
T	-22.539761862	-43.212896244	911.2		
T	-22.539772831	-43.213169006	922.6		
T	-22.539791056	-43.213640188	940.2		
T	-22.539800811	-43.213865234	945.7		
T	-22.539825007	-43.214359457	954.5		
T	-22.539837556	-43.214640706	959.5		
T	-22.539850363	-43.214927036	964.9		
T	-22.539866397	-43.215308309	976.2		
T	-22.539876963	-43.215571168	991.7		
T	-22.539887494	-43.215833170	1006.9		
T	-22.539904796	-43.216224176	1012.7		
T	-22.539919578	-43.216528450	1011.2		
T	-22.539942258	-43.216942752	1005.7		
T	-22.539958212	-43.217258067	998.4		
T	-22.539981003	-43.217674533	989.5		
T	-22.539999438	-43.218015709	980.2		
T	-22.540019823	-43.218378757	970.2		
T	-22.540045193	-43.218853645	960.0		
T	-22.540060894	-43.219135207	951.5		
T	-22.540077724	-43.219492729	949.1		
T	-22.540095398	-43.219857549	952.1		
T	-22.540110177	-43.220223675	961.7		
T	-22.540129034	-43.220630006	972.4		
T	-22.540160875	-43.221261995	971.7		
T	-22.540190223	-43.221813546	954.3		
T	-22.540210109	-43.222143395	935.4		
T	-22.540234604	-43.222526023	915.2		
T	-22.540260309	-43.223008884	899.6		
T	-22.540274760	-43.223281233	889.1		
T	-22.540294799	-43.223646801	875.5		
T	-22.540331462	-43.224280801	842.3		
T	-22.540362388	-43.224824501	815.8		
T	-22.540387945	-43.225280769	804.9		
T	-22.540403659	-43.225598176	806.6		
T	-22.540412136	-43.225777387	807.0		
T	-22.540436502	-43.226277662	797.2		
T	-22.540453206	-43.226660874	792.8		
T	-22.540472636	-43.227051208	791.5		
T	-22.540484304	-43.227293182	789.8		
T	-22.540514927	-43.227837086	786.2		
T	-22.540534795	-43.228257374	785.9		
T	-22.540556596	-43.228701853	779.6		
T	-22.540584439	-43.229213465	775.8		
T	-22.540611331	-43.229719375	760.1		
T	-22.540641846	-43.230236562	732.0		
T	-22.540662630	-43.230615731	722.3		
T	-22.540684059	-43.230978317	713.4		
T	-22.540700539	-43.231306302	695.3		
T	-22.540715939	-43.231595774	685.3		
T	-22.540678474	-43.231983759	673.2		
T	-22.540697503	-43.232320053	657.6		
T	-22.540720604	-43.232729047	645.0		
T	-22.540680006	-43.233058611	634.4		
T	-22.540516051	-43.233303528	628.6		
T	-22.540161326	-43.233321867	635.4		
T	-22.539913996	-43.233101324	649.4		
T	-22.539725069	-43.232864773	661.6		
T	-22.539473849	-43.232549802	671.6		
T	-22.539340080	-43.232218480	693.4		
T	-22.539207511	-43.231906846	720.9		
T	-22.539070355	-43.231496522	742.8		
T	-22.538995385	-43.231152466	756.2		
T	-22.538912507	-43.230634344	794.1		
T	-22.538815858	-43.229789352	855.2		
T	-22.538735127	-43.229295525	886.9		
T	-22.538718220	-43.228941764	899.3		
T	-22.538644875	-43.228610792	910.5		
T	-22.538630014	-43.228295921	918.4		
T	-22.538616528	-43.228015063	923.8		
T	-22.538546988	-43.227761570	928.6		
T	-22.538531794	-43.227454702	928.4		
T	-22.538517859	-43.227174464	925.5		
T	-22.538502278	-43.226855886	918.8		
T	-22.538426495	-43.226473186	918.2		
T	-22.538408219	-43.226100481	917.1		
T	-22.538390063	-43.225732424	914.9		
T	-22.538378724	-43.225514076	913.1		
T	-22.538364945	-43.225244885	906.6		
T	-22.538352091	-43.224992093	899.6		
T	-22.538280606	-43.224720752	895.9		
T	-22.538265759	-43.224432688	889.1		
T	-22.538244813	-43.224010826	879.3		
T	-22.538226578	-43.223638139	873.0		
T	-22.538152442	-43.223323762	870.7		
T	-22.538136225	-43.223019215	865.9		
T	-22.538106170	-43.222380096	872.8		
T	-22.538088925	-43.222004765	886.4		
T	-22.538085620	-43.221930738	889.1		
T	-22.537996209	-43.221256448	912.0		
T	-22.537978398	-43.220856146	930.7		
T	-22.537958533	-43.220436497	941.2		
T	-22.537939650	-43.220035570	953.3		
T	-22.537920186	-43.219607105	964.4		
T	-22.537903601	-43.219259640	972.2		
T	-22.537890834	-43.218988696	979.6		
T	-22.537877593	-43.218715409	987.9		
T	-22.537858762	-43.218306975	998.3		
T	-22.537836966	-43.217845484	1010.3		
T	-22.537813207	-43.217326842	1034.6		
T	-22.537793709	-43.216899298	1050.3		
T	-22.537775086	-43.216508443	1058.4		
T	-22.537750060	-43.215980467	1065.3		
T	-22.537720715	-43.215398111	1060.9		
T	-22.537689323	-43.214799717	1039.4		
T	-22.537660363	-43.214240628	1021.0		
T	-22.537694481	-43.213821617	997.7		
T	-22.537680256	-43.213552925	979.1		
T	-22.537663125	-43.213229389	962.5		
T	-22.537648780	-43.212960432	947.2		
T	-22.537628912	-43.212591786	922.6		
T	-22.537606074	-43.212168064	893.1		
T	-22.537582212	-43.211703686	880.0		
T	-22.537615485	-43.211223000	874.6		
T	-22.537591450	-43.210749747	869.2		
T	-22.537576235	-43.210445327	862.8		
T	-22.537615448	-43.210072486	860.1		
T	-22.537597133	-43.209704333	859.0		
T	-22.537581858	-43.209397335	857.7		
T	-22.537560429	-43.208969322	856.0		
T	-22.537535660	-43.208460781	850.6		
T	-22.537559651	-43.207780627	847.2		
T	-22.537516357	-43.206902511	854.4		
T	-22.537469903	-43.205950602	855.7		
T	-22.537454505	-43.204435033	885.8		
T	-22.537380554	-43.202933785	890.0		
T	-22.537303249	-43.201344815	896.8		
T	-22.537285244	-43.199861837	849.1		
T	-22.537210616	-43.198331528	865.9		
T	-22.537205690	-43.197028038	907.1		
T	-22.537140871	-43.195712452	910.5		
T	-22.537088796	-43.194666934	897.7		
T	-22.537048933	-43.193872180	875.5		
T	-22.537008258	-43.193072987	866.6		
T	-22.536980785	-43.192503808	857.3		
T	-22.536959204	-43.192062086	866.0		
T	-22.536934626	-43.191558699	874.8		
T	-22.536903565	-43.190936902	870.7		
T	-22.536866497	-43.190184594	866.3		
T	-22.536833057	-43.189492995	879.4		
T	-22.536868831	-43.189051711	880.8		
T	-22.536850273	-43.188676198	880.9		
T	-22.536837863	-43.188426083	879.6		
T	-22.536813050	-43.187926711	877.3		
T	-22.536794379	-43.187551274	869.0		
T	-22.536776070	-43.187175395	858.6		
T	-22.536756942	-43.186798822	858.8		
T	-22.536741552	-43.186485866	860.2		
T	-22.536717322	-43.185986466	864.7		
T	-22.536708257	-43.185799880	868.0		
T	-22.536695791	-43.185549993	873.1		
T	-22.536684034	-43.185301837	874.9		
T	-22.536729003	-43.185049255	875.3		
T	-22.536710278	-43.184674226	872.8		
T	-22.536691734	-43.184298996	874.9		
T	-22.536670097	-43.183861140	864.8		
T	-22.536638177	-43.183225932	860.8		
T	-22.536625721	-43.182973291	857.6		
T	-22.536661092	-43.182525329	846.8		
T	-22.536649086	-43.182278261	854.8		
T	-22.536621460	-43.181719053	867.6		
T	-22.536655303	-43.181232691	893.3		
T	-22.536637989	-43.180877538	903.6		
T	-22.536628825	-43.180691825	909.4		
T	-22.536616861	-43.180448442	914.5		
T	-22.536646762	-43.179892665	914.9		
T	-22.536622124	-43.179395147	913.0		
T	-22.536663570	-43.179075725	906.0		
T	-22.536635605	-43.178508125	894.1		
T	-22.536619586	-43.178185109	889.5		
T	-22.536603622	-43.177861162	880.0		
T	-22.536590823	-43.177601434	871.5		
T	-22.536625301	-43.177131800	843.8		
T	-22.536599187	-43.176595240	822.4		
T	-22.536586063	-43.176328963	815.5		
T	-22.536576386	-43.176129230	811.7		
T	-22.536617842	-43.175791810	807.0		
T	-22.536598656	-43.175395408	784.7		
T	-22.536581964	-43.175054842	759.8		
T	-22.536558690	-43.174575932	740.6		
T	-22.536541770	-43.174224651	721.0		
T	-22.536580607	-43.173814588	704.9		
T	-22.536564137	-43.173478994	700.3		
T	-22.536545422	-43.173104683	701.7		
T	-22.536520653	-43.172606392	705.1		
T	-22.536560211	-43.172220601	706.7		
T	-22.536544534	-43.171904331	707.5		
T	-22.536532071	-43.171652119	706.8		
T	-22.536506459	-43.171133500	702.7		
T	-22.536546043	-43.170747379	698.8		
T	-22.536523775	-43.170292618	692.9		
T	-22.536491286	-43.169634959	692.9		
T	-22.536469960	-43.169205900	699.1		
T	-22.536510459	-43.168851510	708.5		
T	-22.536492588	-43.168500232	718.5		
T	-22.536480752	-43.168270880	725.8		
T	-22.536512973	-43.167777542	764.0		
T	-22.536487115	-43.167294012	830.2		
T	-22.536478791	-43.167141425	842.5		
T	-22.536467744	-43.166938813	856.7		
T	-22.536451228	-43.166634626	878.7		
T	-22.536428951	-43.166218523	908.6		
T	-22.536409594	-43.165857066	935.5		
T	-22.536398592	-43.165651612	949.4		
T	-22.536387460	-43.165440506	961.8		
T	-22.536427082	-43.165112409	976.1		
T	-22.536412698	-43.164833645	989.9		
T	-22.536401231	-43.164612971	999.7		
T	-22.536386922	-43.164337148	1011.4		
T	-22.536372615	-43.164061029	1026.5		
T	-22.536361012	-43.163834280	1039.9		
T	-22.536334542	-43.163311137	1056.3		
T	-22.536311630	-43.162869293	1071.9		
T	-22.536294503	-43.162536632	1085.6		
T	-22.536280737	-43.162277550	1095.8		
T	-22.536319829	-43.161952836	1107.5		
T	-22.536297485	-43.161520397	1115.5		
T	-22.536276364	-43.161091679	1120.6		
T	-22.536261371	-43.160789803	1121.6		
T	-22.536252800	-43.160622787	1124.0		
T	-22.536238378	-43.160337761	1130.1		
T	-22.536226631	-43.160109207	1137.8		
T	-22.536209876	-43.159784450	1149.3		
T	-22.536195517	-43.159503403	1155.3		
T	-22.536225932	-43.159018971	1169.8		
T	-22.536201720	-43.158564411	1193.1		
T	-22.536188333	-43.158319178	1206.4		
T	-22.536174610	-43.158057381	1224.2		
T	-22.536158339	-43.157750416	1244.3		
T	-22.536145192	-43.157506692	1257.4		
T	-22.536137328	-43.157360890	1264.7		
T	-22.536121623	-43.157070360	1277.9		
T	-22.536110652	-43.156868078	1284.6		
T	-22.536097133	-43.156596565	1290.2		
T	-22.536084983	-43.156347075	1294.7		
T	-22.536125009	-43.156054283	1299.9		
T	-22.536113409	-43.155822566	1300.2		
T	-22.536096169	-43.155483821	1303.0		
T	-22.536032801	-43.155300357	1300.6		
T	-22.535908931	-43.154984702	1286.5		
T	-22.535836884	-43.154621904	1271.0		
T	-22.535767965	-43.154326350	1259.0		
T	-22.535530474	-43.153972943	1240.7		
T	-22.535310387	-43.153984551	1231.3		
T	-22.535154175	-43.154184818	1221.2		
T	-22.535054368	-43.154404714	1213.0		
T	-22.535007452	-43.154582526	1209.9		
T	-22.534910599	-43.154870601	1206.5		
T	-22.534870921	-43.155185127	1209.4		
T	-22.534891102	-43.155580239	1215.7		
T	-22.534851872	-43.155899532	1218.8		
T	-22.534860995	-43.156082600	1223.4		
T	-22.534831954	-43.156601527	1223.6		
T	-22.534851733	-43.156986819	1230.6		
T	-22.534870689	-43.157362156	1240.4		
T	-22.534879268	-43.157537132	1243.0		
T	-22.534898360	-43.157933006	1238.3		
T	-22.534911745	-43.158212793	1228.3		
T	-22.534924832	-43.158488208	1219.0		
T	-22.534945257	-43.158941556	1199.6		
T	-22.534959584	-43.159256180	1183.9		
T	-22.534975294	-43.159589311	1172.6		
T	-22.534990740	-43.159917038	1156.8		
T	-22.535013075	-43.160399736	1138.6		
T	-22.535034265	-43.160846704	1125.0		
T	-22.535051038	-43.161215025	1105.7		
T	-22.535063274	-43.161503311	1091.1		
T	-22.535075336	-43.161769213	1077.4		
T	-22.535095000	-43.162203670	1060.7		
T	-22.535119886	-43.162695763	1053.4		
T	-22.535137323	-43.163077444	1043.2		
T	-22.535155243	-43.163487630	1008.2		
T	-22.535170359	-43.163841323	984.8		
T	-22.535188604	-43.164230828	970.2		
T	-22.535200393	-43.164496502	957.4		
T	-22.535212018	-43.164760218	938.9		
T	-22.535223688	-43.165024998	920.1		
T	-22.535234727	-43.165284793	900.1		
T	-22.535249047	-43.165608833	880.5		
T	-22.535261403	-43.165857105	875.3		
T	-22.535274735	-43.166142696	872.8		
T	-22.535290511	-43.166509986	838.1		
T	-22.535301844	-43.166773847	794.1		
T	-22.535316840	-43.167107337	772.1		
T	-22.535337266	-43.167558884	759.7		
T	-22.535357765	-43.168012457	746.1		
T	-22.535380727	-43.168499124	735.0		
T	-22.535355227	-43.169150524	737.5		
T	-22.535381126	-43.169667264	740.0		
T	-22.535399638	-43.170044674	742.8		
T	-22.535419026	-43.170433470	748.7		
T	-22.535438975	-43.170824275	752.3		
T	-22.535459592	-43.171223546	759.9		
T	-22.535482361	-43.171674084	761.2		
T	-22.535450213	-43.172193172	763.6		
T	-22.535467415	-43.172559345	758.2		
T	-22.535484782	-43.172926278	747.3		
T	-22.535504578	-43.173349728	739.0		
T	-22.535518316	-43.173650204	732.6		
T	-22.535533359	-43.173962781	730.4		
T	-22.535495758	-43.174363641	747.0		
T	-22.535523178	-43.174854037	776.1		
T	-22.535545604	-43.175263954	796.4		
T	-22.535567101	-43.175666528	809.9		
T	-22.535588761	-43.176067975	829.4		
T	-22.535610116	-43.176467152	847.4		
T	-22.535629990	-43.176854029	858.0		
T	-22.535647064	-43.177177304	864.3		
T	-22.535660657	-43.177437052	866.2		
T	-22.535683152	-43.177883078	869.7		
T	-22.535643961	-43.178260703	869.9		
T	-22.535665874	-43.178699138	874.7		
T	-22.535684808	-43.179076559	882.9		
T	-22.535701188	-43.179396901	891.4		
T	-22.535722819	-43.179790881	905.9		
T	-22.535744597	-43.180184479	922.0		
T	-22.535772579	-43.180700482	939.6		
T	-22.535798909	-43.181207043	951.0		
T	-22.535823655	-43.181703998	961.0		
T	-22.535857641	-43.182435320	959.0		
T	-22.535885853	-43.182947145	963.5		
T	-22.535909775	-43.183391620	968.2		
T	-22.535930823	-43.183823230	971.6		
T	-22.535948332	-43.184191705	969.4		
T	-22.535961790	-43.184494786	966.1		
T	-22.535921818	-43.184866162	955.0		
T	-22.535941963	-43.185297566	940.0		
T	-22.535964690	-43.185791315	914.5		
T	-22.535933280	-43.186352231	911.7		
T	-22.535963721	-43.186975012	907.2		
T	-22.535928411	-43.187415022	911.6		
T	-22.535946649	-43.187788864	912.5		
T	-22.535968649	-43.188225181	915.3		
T	-22.535984741	-43.188536520	918.6		
T	-22.536002534	-43.188910910	917.5		
T	-22.536017045	-43.189223540	912.8		
T	-22.536035131	-43.189599299	903.3		
T	-22.536050194	-43.189910812	894.5		
T	-22.536007572	-43.190227749	891.0		
T	-22.535970202	-43.190672543	886.4		
T	-22.535981593	-43.190924866	882.9		
T	-22.535990930	-43.191113205	881.3		
T	-22.536015992	-43.191612669	891.0		
T	-22.536035110	-43.191985868	895.2		
T	-22.535996755	-43.192363016	894.0		
T	-22.536011234	-43.192678323	887.0		
T	-22.536028919	-43.193059032	874.0		
T	-22.536040590	-43.193313532	866.8		
T	-22.536011924	-43.193956654	851.6		
T	-22.536026231	-43.194275911	845.9		
T	-22.536038526	-43.194528086	844.7		
T	-22.536057384	-43.194904728	846.7		
T	-22.536086540	-43.195460363	859.2		
T	-22.536102703	-43.195768427	867.9		
T	-22.536129964	-43.196336555	866.4		
T	-22.536145495	-43.196648792	867.4		
T	-22.536164827	-43.197018764	871.7		
T	-22.536183227	-43.197396473	868.5		
T	-22.536197796	-43.197719696	860.4		
T	-22.536215322	-43.198108967	850.2		
T	-22.536233153	-43.198490582	847.0		
T	-22.536249622	-43.198798965	847.7		
T	-22.536265154	-43.199111760	847.0		
T	-22.536290084	-43.199611949	849.2		
T	-22.536311886	-43.200049439	857.1		
T	-22.536330826	-43.200421321	862.0		
T	-22.536343627	-43.200658573	866.6		
T	-22.536369564	-43.201137666	876.0		
T	-22.536372700	-43.201199202	875.5		
T	-22.536384448	-43.201463864	872.8		
T	-22.536396179	-43.201724510	870.4		
T	-22.536412519	-43.202022613	871.6		
T	-22.536436897	-43.202531947	868.5		
T	-22.536448492	-43.202797948	865.8		
T	-22.536463908	-43.203115735	863.2		
T	-22.536488588	-43.203619667	864.7		
T	-22.536510236	-43.204057568	875.0		
T	-22.536531988	-43.204493205	874.5		
T	-22.536611296	-43.204926419	869.5		
T	-22.536636018	-43.205427551	865.5		
T	-22.536645875	-43.205591625	866.6		
T	-22.536667190	-43.206051391	862.8		
T	-22.536679199	-43.206315758	857.3		
T	-22.536703184	-43.206851369	849.5		
T	-22.536715632	-43.207102292	846.2		
T	-22.536728032	-43.207353196	845.3		
T	-22.536749942	-43.207782105	848.9		
T	-22.536762559	-43.208007556	854.9		
T	-22.536778479	-43.208287308	866.0		
T	-22.536736612	-43.208589459	873.6		
T	-22.536755329	-43.208974306	869.0		
T	-22.536779119	-43.209520372	862.7		
T	-22.536797680	-43.209895033	864.5		
T	-22.536813211	-43.210200988	866.9		
T	-22.536780574	-43.210680113	874.0		
T	-22.536799404	-43.211027242	879.7		
T	-22.536811939	-43.211260710	883.6		
T	-22.536824442	-43.211492774	889.4		
T	-22.536849409	-43.211952049	909.8		
T	-22.536814211	-43.212330972	932.3		
T	-22.536826772	-43.212547278	944.2		
T	-22.536845556	-43.212878761	961.8		
T	-22.536864148	-43.213217567	979.8		
T	-22.536825942	-43.213544228	996.2		
T	-22.536838460	-43.213751923	1008.7		
T	-22.536803724	-43.214118668	1030.5		
T	-22.536822413	-43.214431658	1046.7		
T	-22.536784849	-43.214750531	1062.2		
T	-22.536803082	-43.215096925	1072.2		
T	-22.536824377	-43.215503832	1073.1		
T	-22.536842303	-43.215876353	1064.2		
T	-22.536803640	-43.216305289	1048.7		
T	-22.536827313	-43.216867006	1032.2		
T	-22.536839156	-43.217150250	1021.1		
T	-22.536859858	-43.217655379	1000.1		
T	-22.536877642	-43.218088786	989.1		
T	-22.536896113	-43.218455252	985.9		
T	-22.536907931	-43.218738751	979.6		
T	-22.536935073	-43.219359474	962.8		
T	-22.536940990	-43.219492099	960.5		
T	-22.536962833	-43.219908968	954.4		
T	-22.536974814	-43.220205612	943.1		
T	-22.537046748	-43.220598007	923.6		
T	-22.537059042	-43.220888887	910.3		
T	-22.537077701	-43.221373556	892.5		
T	-22.537093228	-43.221711079	877.1		
T	-22.537108614	-43.222077737	865.4		
T	-22.537120635	-43.222351846	864.0		
T	-22.537148506	-43.222886186	869.8		
T	-22.537157734	-43.223067408	872.2		
T	-22.537182357	-43.223558958	885.3		
T	-22.537212843	-43.224098758	906.4		
T	-22.537224781	-43.224277193	912.9		
T	-22.537245990	-43.224655525	923.3		
T	-22.537267310	-43.225069537	932.9		
T	-22.537351501	-43.225551759	942.7		
T	-22.537375533	-43.226000693	950.0		
T	-22.537390922	-43.226319925	950.1		
T	-22.537403601	-43.226618441	943.6		
T	-22.537422806	-43.227086212	933.3		
T	-22.537440601	-43.227419900	937.3		
T	-22.537455729	-43.227716234	943.8		
T	-22.537474522	-43.228080562	949.0		
T	-22.537486277	-43.228340239	947.9		
T	-22.537509322	-43.228929558	900.1		
T	-22.537531973	-43.229472547	884.2		
T	-22.537554443	-43.229993220	864.3		
T	-22.537571384	-43.230442760	838.9		
T	-22.537586816	-43.230946340	777.2		
T	-22.537600784	-43.231322821	748.7		
T	-22.537559717	-43.231781425	730.6		
T	-22.537577245	-43.232236971	701.6		
T	-22.537532265	-43.232644759	679.0		
T	-22.537431058	-43.233020229	670.0		
T	-22.537201378	-43.233188810	664.1		
T	-22.536962578	-43.233162784	664.7		
T	-22.536723605	-43.233109207	668.9		
T	-22.536537413	-43.232918385	673.4		
T	-22.536354369	-43.232811035	676.0		
T	-22.536108370	-43.232441153	699.4		
T	-22.535924236	-43.232200175	711.6		
T	-22.535797472	-43.232011869	717.6		
T	-22.535726450	-43.231577964	740.4		
T	-22.535653899	-43.231050148	766.9		
T	-22.535579794	-43.230437973	807.4		
T	-22.535512807	-43.230089952	830.8		
T	-22.535498961	-43.229293016	911.0		
T	-22.535492940	-43.228880421	936.1		
T	-22.535481480	-43.228321477	962.2		
T	-22.535467388	-43.227982733	956.6		
T	-22.535450910	-43.227701112	947.5		
T	-22.535428929	-43.227421181	943.1		
T	-22.535417930	-43.227275582	939.4		
T	-22.535396359	-43.226973642	925.5		
T	-22.535372222	-43.226596048	905.5		
T	-22.535352321	-43.226248951	900.6		
T	-22.535326868	-43.225767352	900.6		
T	-22.535318341	-43.225564592	901.1		
T	-22.535299175	-43.225074967	908.7		
T	-22.535287993	-43.224798756	912.7		
T	-22.535269609	-43.224423749	916.5		
T	-22.535258765	-43.224144087	920.3		
T	-22.535242871	-43.223720232	930.6		
T	-22.535229346	-43.223369847	935.1		
T	-22.535196170	-43.222794676	929.1		
T	-22.535180142	-43.222492812	922.6		
T	-22.535154279	-43.222017296	916.0		
T	-22.535141022	-43.221784036	912.8		
T	-22.535127751	-43.221550541	908.1		
T	-22.535110789	-43.221260785	899.6		
T	-22.535096795	-43.221040609	892.3		
T	-22.535063951	-43.220562719	882.4		
T	-22.535039813	-43.220047419	878.7		
T	-22.535025188	-43.219722397	878.4		
T	-22.535013098	-43.219467055	883.7		
T	-22.534998134	-43.219146734	889.1		
T	-22.534978388	-43.218676876	892.2		
T	-22.534960588	-43.218290544	899.0		
T	-22.534932938	-43.217619340	913.0		
T	-22.534908643	-43.216698831	958.2		
T	-22.534888309	-43.215944277	997.0		
T	-22.534930824	-43.215416928	1020.9		
T	-22.534908832	-43.214792706	1043.8		
T	-22.534894451	-43.214474203	1050.9		
T	-22.534878590	-43.214175860	1055.9		
T	-22.534911179	-43.213774120	1051.7		
T	-22.534893290	-43.213497552	1039.4		
T	-22.534871063	-43.213172962	1009.3		
T	-22.534889837	-43.212637355	973.2		
T	-22.534878187	-43.212478928	968.7		
T	-22.534906684	-43.212024878	957.1		
