type	latitude	longitude	altitude (m)	name	desc
T	-22.550903940	-43.181330373	372.7		
T	-22.550890859	-43.180938621	373.2		
T	-22.550854241	-43.180558958	377.6		
T	-22.550822167	-43.180244179	385.7		
T	-22.550807029	-43.179920242	389.1		
T	-22.550788311	-43.179531879	389.9		
T	-22.550775568	-43.179339828	391.4		
T	-22.550727456	-43.178837564	401.3		
T	-22.550694169	-43.178459902	407.5		
T	-22.550677509	-43.178138003	418.1		
T	-22.550563484	-43.177714687	438.1		
T	-22.550512886	-43.177219901	455.0		
T	-22.550491051	-43.176970511	460.6		
T	-22.550408968	-43.176525781	469.1		
T	-22.550390737	-43.176340843	472.1		
T	-22.550347581	-43.175777049	482.1		
T	-22.550270769	-43.175529363	486.9		
T	-22.550169847	-43.175104141	503.7		
T	-22.550136651	-43.174801743	522.6		
T	-22.550099096	-43.174505016	540.6		
T	-22.550039977	-43.174098249	560.9		
T	-22.549991185	-43.173749514	579.1		
T	-22.549940878	-43.173404557	599.3		
T	-22.549883706	-43.173002710	622.0		
T	-22.549837888	-43.172656523	638.0		
T	-22.549769790	-43.172339161	687.5		
T	-22.549681265	-43.172050850	752.1		
T	-22.549576236	-43.171721777	811.5		
T	-22.549510584	-43.171478250	831.4		
T	-22.549487552	-43.171180375	860.5		
T	-22.549457721	-43.170826381	922.7		
T	-22.549373380	-43.170539366	957.9		
T	-22.549339824	-43.170323586	990.5		
T	-22.549270100	-43.170148768	996.3		
T	-22.549161578	-43.169768838	1021.2		
T	-22.549075894	-43.169570069	1019.5		
T	-22.549017971	-43.169462625	1015.9		
T	-22.548895733	-43.169178579	1013.0		
T	-22.548821737	-43.168820542	1013.6		
T	-22.548816116	-43.168568601	1009.7		
T	-22.548764839	-43.168237790	999.5		
T	-22.548771301	-43.167898756	988.3		
T	-22.548718408	-43.167633785	977.4		
T	-22.548715226	-43.167309491	964.8		
T	-22.548715571	-43.166977985	952.6		
T	-22.548708269	-43.166659690	949.3		
T	-22.548678398	-43.166316549	952.1		
T	-22.548606271	-43.166017838	953.9		
T	-22.548588943	-43.165651562	951.5		
T	-22.548520232	-43.165279865	947.3		
T	-22.548500271	-43.164918731	945.2		
T	-22.548435186	-43.164740068	946.1		
T	-22.548431793	-43.164277350	937.0		
T	-22.548364224	-43.163901412	936.7		
T	-22.548350140	-43.163594437	935.0		
T	-22.548336052	-43.163287402	929.7		
T	-22.548318812	-43.162919414	924.8		
T	-22.548245825	-43.162554417	931.9		
T	-22.548222518	-43.162132252	919.0		
T	-22.548197946	-43.161917277	914.7		
T	-22.548166092	-43.161720942	917.7		
T	-22.548161521	-43.161459961	920.0		
T	-22.548152368	-43.161004789	926.5		
T	-22.548166312	-43.160697626	924.6		
T	-22.548160173	-43.160164185	908.0		
T	-22.548158135	-43.159756787	904.4		
T	-22.548130585	-43.159413376	902.9		
T	-22.548110659	-43.159188897	901.1		
T	-22.548100970	-43.158661320	894.5		
T	-22.548102738	-43.158240193	881.3		
T	-22.548100064	-43.157829773	866.6		
T	-22.548096250	-43.157421550	854.3		
T	-22.548094462	-43.156936229	840.5		
T	-22.548095240	-43.156653069	830.7		
T	-22.548095893	-43.156369515	826.0		
T	-22.548045025	-43.156023098	833.6		
T	-22.547998511	-43.155665623	849.9		
T	-22.547982079	-43.155291625	870.0		
T	-22.547948074	-43.155041154	881.1		
T	-22.547918756	-43.154706812	889.6		
T	-22.547886184	-43.154242160	893.1		
T	-22.547876945	-43.153846653	890.3		
T	-22.547872879	-43.153504488	883.1		
T	-22.547809721	-43.153174200	881.2		
T	-22.547798064	-43.152855568	878.5		
T	-22.547786803	-43.152535152	871.3		
T	-22.547782702	-43.152191328	865.7		
T	-22.547779840	-43.151913978	866.2		
T	-22.547755964	-43.151707747	869.9		
T	-22.547800732	-43.151600189	868.3		
T	-22.546743515	-43.151732211	945.6		
T	-22.546510682	-43.151708031	956.3		
T	-22.546226308	-43.151744595	967.6		
T	-22.545945060	-43.151842483	977.6		
T	-22.545721570	-43.151930234	985.5		
T	-22.545437612	-43.151968530	998.2		
T	-22.545151734	-43.152017110	1013.1		
T	-22.544855729	-43.152114162	1027.4		
T	-22.544622250	-43.152179533	1038.1		
T	-22.544278998	-43.152250808	1060.7		
T	-22.544045024	-43.152325639	1076.7		
T	-22.543813189	-43.152395321	1090.4		
T	-22.543526988	-43.152465831	1108.5		
T	-22.543236049	-43.152570276	1130.8		
T	-22.542948953	-43.152660495	1157.9		
T	-22.542719069	-43.152737040	1176.2		
T	-22.542486220	-43.152837230	1200.5		
T	-22.542195160	-43.152976607	1229.3		
T	-22.541849412	-43.153134384	1265.2		
T	-22.541627903	-43.153181872	1276.2		
T	-22.541460694	-43.153146500	1275.5		
T	-22.541248214	-43.153123918	1275.4		
T	-22.541031388	-43.153052629	1277.0		
T	-22.540814963	-43.153059617	1277.7		
T	-22.540597289	-43.153078847	1287.1		
T	-22.540325311	-43.153103191	1294.0		
T	-22.539997332	-43.153153662	1297.1		
T	-22.539778378	-43.153195053	1305.2		
T	-22.539505198	-43.153246701	1324.3		
T	-22.539284192	-43.153330106	1337.5		
T	-22.539011157	-43.153404555	1348.9		
T	-22.538791681	-43.153379688	1360.8		
T	-22.538575442	-43.153405838	1369.7		
T	-22.538307253	-43.153407202	1373.8		
T	-22.538089290	-43.153347052	1374.7		
T	-22.537820653	-43.153329773	1373.4		
T	-22.537602462	-43.153259730	1372.3		
T	-22.537279058	-43.153231418	1367.2		
T	-22.536954770	-43.153203032	1358.1		
T	-22.536738112	-43.153176450	1348.2		
T	-22.536465693	-43.153099033	1331.4		
T	-22.536301501	-43.153050615	1320.1		
T	-22.535970975	-43.152937222	1295.4		
T	-22.535636393	-43.152784096	1258.3		
T	-22.535358176	-43.152720212	1240.0		
T	-22.535135238	-43.152677575	1230.8		
T	-22.534855680	-43.152631180	1219.9		
T	-22.534632128	-43.152603284	1210.3		
T	-22.534408058	-43.152575324	1200.5		
T	-22.534239666	-43.152554315	1194.8		
T	-22.533899895	-43.152488649	1175.6		
T	-22.533500039	-43.152395235	1160.8		
T	-22.533217581	-43.152373962	1154.1		
T	-22.532877414	-43.152310305	1150.5		
T	-22.532533695	-43.152219899	1142.3		
T	-22.532185555	-43.152144451	1122.1		
T	-22.531943876	-43.151994584	1108.5		
T	-22.531608280	-43.152021993	1110.4		
T	-22.531331023	-43.152059658	1123.3		
T	-22.531004771	-43.152139775	1134.8		
T	-22.530727397	-43.152171538	1141.9		
T	-22.530504084	-43.152187371	1148.7		
T	-22.530216288	-43.152162687	1149.2		
T	-22.529926476	-43.152131200	1136.7		
T	-22.529632068	-43.152080976	1121.8		
T	-22.529276533	-43.152016924	1106.1		
T	-22.529038577	-43.151974052	1095.1		
T	-22.528736628	-43.151905757	1079.3		
T	-22.528422464	-43.151791814	1057.6		
T	-22.528106012	-43.151677044	1033.5		
T	-22.527803715	-43.151625569	1016.8		
T	-22.527507861	-43.151602728	1011.6		
T	-22.527221587	-43.151617935	1012.5		
T	-22.526937877	-43.151693025	1014.9		
T	-22.526611222	-43.151769360	1034.2		
